Mots conjugués;Infinitif
agrandissent;agrandir
agresse;agresser
agresses;agresser
agresse;agresser
agressons;agresser
agressez;agresser
agressent;agresser
agrippe;agripper
agrippes;agripper
agrippe;agripper
agrippons;agripper
agrippez;agripper
agrippent;agripper
aide;aider
aides;aider
aide;aider
aidons;aider
aidez;aider
aident;aider
aiguise;aiguiser
aiguises;aiguiser
aiguise;aiguiser
aiguisons;aiguiser
aiguisez;aiguiser
aiguisent;aiguiser
aimante;aimanter
aimantes;aimanter
aimante;aimanter
aimantons;aimanter
aimantez;aimanter
aimantent;aimanter
aime;aimer
aimes;aimer
aime;aimer
aimons;aimer
aimez;aimer
aiment;aimer
ajoute;ajouter
ajoutes;ajouter
ajoute;ajouter
ajoutons;ajouter
ajoutez;ajouter
ajoutent;ajouter
alerte;alerter
alertes;alerter
alerte;alerter
alertons;alerter
alertez;alerter
alertent;alerter
allaite;allaiter
allaites;allaiter
allaite;allaiter
allaitons;allaiter
allaitez;allaiter
allaitent;allaiter
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
cherche;aller
cherches;aller
cherche;aller
cherchons;aller
cherchez;aller
cherchent;aller
dors;aller
dors;aller
dort;aller
dormons;aller
dormez;aller
dorment;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
vais;aller
vas;aller
va;aller
allons;aller
allez;aller
vont;aller
allume;allumer
allumes;allumer
allume;allumer
allumons;allumer
allumez;allumer
allument;allumer
amende;amender
amendes;amender
amende;amender
amendons;amender
amendez;amender
amendent;amender
amène;amener
amènes;amener
amène;amener
amenons;amener
amenez;amener
amènent;amener
amène;amener
amènes;amener
amène;amener
amenons;amener
amenez;amener
amènent;amener
amuse;amuser
amuses;amuser
amuse;amuser
amusons;amuser
amusez;amuser
amusent;amuser
améliore;améliorer
améliores;améliorer
améliore;améliorer
améliorons;améliorer
améliorez;améliorer
améliorent;améliorer
annule;annuler
annules;annuler
annule;annuler
annulons;annuler
annulez;annuler
annulent;annuler
apaise;apaiser
apaises;apaiser
apaise;apaiser
apaisons;apaiser
apaisez;apaiser
apaisent;apaiser
aplatis;aplatir
aplatis;aplatir
aplatit;aplatir
aplatissons;aplatir
aplatissez;aplatir
aplatissent;aplatir
apparais;apparaitre
apparais;apparaitre
apparaît;apparaitre
apparaissons;apparaitre
apparaissez;apparaitre
apparaissent;apparaitre
apparais;apparaître
apparais;apparaître
apparaît;apparaître
apparaissons;apparaître
apparaissez;apparaître
apparaissent;apparaître
app;appeler
app;appeler
appelle;appeler
appelons;appeler
appelez;appeler
appellent;appeler
app;appeler
app;appeler
appelle;appeler
appelons;appeler
appelez;appeler
appellent;appeler
app;appeler
app;appeler
appelle;appeler
appelons;appeler
appelez;appeler
appellent;appeler
assène;appeler
assènes;appeler
assène;appeler
assénons;appeler
assénez;appeler
assènent;appeler
app;appeler
app;appeler
appelle;appeler
appelons;appeler
appelez;appeler
appellent;appeler
app;appeler
app;appeler
appelle;appeler
appelons;appeler
appelez;appeler
appellent;appeler
applaudis;applaudir
applaudis;applaudir
applaudit;applaudir
applaudissons;applaudir
applaudissez;applaudir
applaudissent;applaudir
apporte;apporter
apportes;apporter
apporte;apporter
apportons;apporter
apportez;apporter
apportent;apporter
apprends;apprendre
apprends;apprendre
apprend;apprendre
apprenons;apprendre
apprenez;apprendre
apprennent;apprendre
approche;approcher
approches;approcher
approche;approcher
approchons;approcher
approchez;approcher
approchent;approcher
approuve;approuver
approuves;approuver
approuve;approuver
approuvons;approuver
approuvez;approuver
approuvent;approuver
apprécie;apprécier
apprécies;apprécier
apprécie;apprécier
apprécions;apprécier
appréciez;apprécier
apprécient;apprécier
appuie;appuyer
appuies;appuyer
appuie;appuyer
appuyons;appuyer
appuyez;appuyer
appuient;appuyer
appuie;appuyer
appuies;appuyer
appuie;appuyer
appuyons;appuyer
appuyez;appuyer
appuient;appuyer
appuie;appuyer
appuies;appuyer
appuie;appuyer
appuyons;appuyer
appuyez;appuyer
appuient;appuyer
arbitre;arbitrer
arbitres;arbitrer
arbitre;arbitrer
arbitrons;arbitrer
arbitrez;arbitrer
arbitrent;arbitrer
arrache;arracher
arraches;arracher
arrache;arracher
arrachons;arracher
arrachez;arracher
arrachent;arracher
arrive;arriver
arrives;arriver
arrive;arriver
arrivons;arriver
arrivez;arriver
arrivent;arriver
arrose;arroser
arroses;arroser
arrose;arroser
arrosons;arroser
arrosez;arroser
arrosent;arroser
arrête;arrêter
arrêtes;arrêter
arrête;arrêter
arrêtons;arrêter
arrêtez;arrêter
arrêtent;arrêter
asperge;asperger
asperges;asperger
asperge;asperger
aspergeons;asperger
aspergez;asperger
aspergent;asperger
aspire;aspirer
aspires;aspirer
aspire;aspirer
aspirons;aspirer
aspirez;aspirer
aspirent;aspirer
assaisonne;assaisonner
assaisonnes;assaisonner
assaisonne;assaisonner
assaisonnons;assaisonner
assaisonnez;assaisonner
assaisonnent;assaisonner
assassine;assassiner
assassines;assassiner
assassine;assassiner
assassinons;assassiner
assassinez;assassiner
assassinent;assassiner
assois;asseoir
assois;asseoir
assoit;asseoir
assoyons;asseoir
assoyez;asseoir
assoient;asseoir
assiste;assister
assistes;assister
assiste;assister
assistons;assister
assistez;assister
assistent;assister
associe;associer
associes;associer
associe;associer
associons;associer
associez;associer
associent;associer
assois;assoir
assois;assoir
assoit;assoir
assoyons;assoir
assoyez;assoir
assoient;assoir
assouplis;assouplir
assouplis;assouplir
assouplit;assouplir
assouplissons;assouplir
assouplissez;assouplir
assouplissent;assouplir
assourdis;assourdir
assourdis;assourdir
assourdit;assourdir
assourdissons;assourdir
assourdissez;assourdir
assourdissent;assourdir
assure;assurer
assures;assurer
assure;assurer
assurons;assurer
assurez;assurer
assurent;assurer
assèche;assécher
assèches;assécher
assèche;assécher
asséchons;assécher
asséchez;assécher
assèchent;assécher
attache;attacher
attaches;attacher
attache;attacher
attachons;attacher
attachez;attacher
attachent;attacher
attaque;attaquer
attaques;attaquer
attaque;attaquer
attaquons;attaquer
attaquez;attaquer
attaquent;attaquer
atteins;atteindre
atteins;atteindre
atteint;atteindre
atteignons;atteindre
atteignez;atteindre
atteignent;atteindre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
attends;attendre
attends;attendre
attend;attendre
attendons;attendre
attendez;attendre
attendent;attendre
atterris;atterrir
atterris;atterrir
atterrit;atterrir
atterrissons;atterrir
atterrissez;atterrir
atterrissent;atterrir
attire;attirer
attires;attirer
attire;attirer
attirons;attirer
attirez;attirer
attirent;attirer
attrape;attraper
attrapes;attraper
attrape;attraper
attrapons;attraper
attrapez;attraper
attrapent;attraper
attrape;attraper
attrapes;attraper
attrape;attraper
attrapons;attraper
attrapez;attraper
attrapent;attraper
attriste;attrister
attristes;attrister
attriste;attrister
attristons;attrister
attristez;attrister
attristent;attrister
atténue;atténuer
atténues;atténuer
atténue;atténuer
atténuons;atténuer
atténuez;atténuer
atténuent;atténuer
audite;auditer
audites;auditer
audite;auditer
auditons;auditer
auditez;auditer
auditent;auditer
augmente;augmenter
augmentes;augmenter
augmente;augmenter
augmentons;augmenter
augmentez;augmenter
augmentent;augmenter
authentifie;authentifier
authentifies;authentifier
authentifie;authentifier
authentifions;authentifier
authentifiez;authentifier
authentifient;authentifier
autorise;autoriser
autorises;autoriser
autorise;autoriser
autorisons;autoriser
autorisez;autoriser
autorisent;autoriser
avale;avaler
avales;avaler
avale;avaler
avalons;avaler
avalez;avaler
avalent;avaler
avance;avancer
avances;avancer
avance;avancer
avançons;avancer
avancez;avancer
avancent;avancer
avance;avancer
avances;avancer
avance;avancer
avançons;avancer
avancez;avancer
avancent;avancer
avance;avancer
avances;avancer
avance;avancer
avançons;avancer
avancez;avancer
avancent;avancer
avance;avancer
avances;avancer
avance;avancer
avançons;avancer
avancez;avancer
avancent;avancer
-;avenir
-;avenir
-;avenir
-;avenir
-;avenir
-;avenir
avertis;avertir
avertis;avertir
avertit;avertir
avertissons;avertir
avertissez;avertir
avertissent;avertir
aveugle;aveugler
aveugles;aveugler
aveugle;aveugler
aveuglons;aveugler
aveuglez;aveugler
aveuglent;aveugler
ai;avoir
as;avoir
a;avoir
avons;avoir
avez;avoir
ont;avoir
aère;aérer
aères;aérer
aère;aérer
aérons;aérer
aérez;aérer
aèrent;aérer
badigeonne;badigeonner
badigeonnes;badigeonner
badigeonne;badigeonner
badigeonnons;badigeonner
badigeonnez;badigeonner
badigeonnent;badigeonner
baigne;baigner
baignes;baigner
baigne;baigner
baignons;baigner
baignez;baigner
baignent;baigner
baille;bailler
bailles;bailler
baille;bailler
baillons;bailler
baillez;bailler
baillent;bailler
baisse;baisser
baisses;baisser
baisse;baisser
baissons;baisser
baissez;baisser
baissent;baisser
balance;balancer
balances;balancer
balance;balancer
balançons;balancer
balancez;balancer
balancent;balancer
balaie;balayer
balaies;balayer
balaie;balayer
balayons;balayer
balayez;balayer
balaient;balayer
baptise;baptiser
baptises;baptiser
baptise;baptiser
baptisons;baptiser
baptisez;baptiser
baptisent;baptiser
barre;barrer
barres;barrer
barre;barrer
barrons;barrer
barrez;barrer
barrent;barrer
barris;barrir
barris;barrir
barrit;barrir
barrissons;barrir
barrissez;barrir
barrissent;barrir
bascule;basculer
bascules;basculer
bascule;basculer
basculons;basculer
basculez;basculer
basculent;basculer
bats;battre
bats;battre
bat;battre
battons;battre
battez;battre
battent;battre
bats;battre
bats;battre
bat;battre
battons;battre
battez;battre
battent;battre
bats;battre
bats;battre
bat;battre
battons;battre
battez;battre
battent;battre
bats;battre
bats;battre
bat;battre
battons;battre
battez;battre
battent;battre
bats;battre
bats;battre
bat;battre
battons;battre
battez;battre
battent;battre
bats;battre
bats;battre
bat;battre
battons;battre
battez;battre
battent;battre
bats;battre
bats;battre
bat;battre
battons;battre
battez;battre
battent;battre
bavarde;bavarder
bavardes;bavarder
bavarde;bavarder
bavardons;bavarder
bavardez;bavarder
bavardent;bavarder
bave;baver
baves;baver
bave;baver
bavons;baver
bavez;baver
bavent;baver
berce;bercer
berces;bercer
berce;bercer
berçons;bercer
bercez;bercer
bercent;bercer
bipe;biper
bipes;biper
bipe;biper
bipons;biper
bipez;biper
bipent;biper
blanchis;blanchir
blanchis;blanchir
blanchit;blanchir
blanchissons;blanchir
blanchissez;blanchir
blanchissent;blanchir
blesse;blesser
blesses;blesser
blesse;blesser
blessons;blesser
blessez;blesser
blessent;blesser
bois;boire
bois;boire
boit;boire
buvons;boire
buvez;boire
boivent;boire
bois;boire
bois;boire
boit;boire
buvons;boire
buvez;boire
boivent;boire
bois;boire
bois;boire
boit;boire
buvons;boire
buvez;boire
boivent;boire
bondis;bondir
bondis;bondir
bondit;bondir
bondissons;bondir
bondissez;bondir
bondissent;bondir
bouche;boucher
bouches;boucher
bouche;boucher
bouchons;boucher
bouchez;boucher
bouchent;boucher
boucle;boucler
boucles;boucler
boucle;boucler
bouclons;boucler
bouclez;boucler
bouclent;boucler
bouge;bouger
bouges;bouger
bouge;bouger
bougeons;bouger
bougez;bouger
bougent;bouger
bouge;bouger
bouges;bouger
bouge;bouger
bougeons;bouger
bougez;bouger
bougent;bouger
bouge;bouger
bouges;bouger
bouge;bouger
bougeons;bouger
bougez;bouger
bougent;bouger
bous;bouillir
bous;bouillir
bout;bouillir
bouillons;bouillir
bouillez;bouillir
bouillent;bouillir
bourdonne;bourdonner
bourdonnes;bourdonner
bourdonne;bourdonner
bourdonnons;bourdonner
bourdonnez;bourdonner
bourdonnent;bourdonner
boutonne;boutonner
boutonnes;boutonner
boutonne;boutonner
boutonnons;boutonner
boutonnez;boutonner
boutonnent;boutonner
boxe;boxer
boxes;boxer
boxe;boxer
boxons;boxer
boxez;boxer
boxent;boxer
-;braire
-;braire
brait;braire
-;braire
-;braire
braient;braire
branche;brancher
branches;brancher
branche;brancher
branchons;brancher
branchez;brancher
branchent;brancher
brise;briser
brises;briser
brise;briser
brisons;briser
brisez;briser
brisent;briser
brode;broder
brodes;broder
brode;broder
brodons;broder
brodez;broder
brodent;broder
bronze;bronzer
bronzes;bronzer
bronze;bronzer
bronzons;bronzer
bronzez;bronzer
bronzent;bronzer
brosse;brosser
brosses;brosser
brosse;brosser
brossons;brosser
brossez;brosser
brossent;brosser
broute;brouter
broutes;brouter
broute;brouter
broutons;brouter
broutez;brouter
broutent;brouter
broie;broyer
broies;broyer
broie;broyer
broyons;broyer
broyez;broyer
broient;broyer
brûle;brûler
brûles;brûler
brûle;brûler
brûlons;brûler
brûlez;brûler
brûlent;brûler
bâtis;bâtir
bâtis;bâtir
bâtit;bâtir
bâtissons;bâtir
bâtissez;bâtir
bâtissent;bâtir
bénis;bénir
bénis;bénir
bénit;bénir
bénissons;bénir
bénissez;bénir
bénissent;bénir
bêche;bêcher
bêches;bêcher
bêche;bêcher
bêchons;bêcher
bêchez;bêcher
bêchent;bêcher
bêle;bêler
bêles;bêler
bêle;bêler
bêlons;bêler
bêlez;bêler
bêlent;bêler
cache;cacher
caches;cacher
cache;cacher
cachons;cacher
cachez;cacher
cachent;cacher
cache;cacher
caches;cacher
cache;cacher
cachons;cacher
cachez;cacher
cachent;cacher
cache;cacher
caches;cacher
cache;cacher
cachons;cacher
cachez;cacher
cachent;cacher
calcule;calculer
calcules;calculer
calcule;calculer
calculons;calculer
calculez;calculer
calculent;calculer
câline;caliner
câlines;caliner
câline;caliner
câlinons;caliner
câlinez;caliner
câlinent;caliner
calme;calmer
calmes;calmer
calme;calmer
calmons;calmer
calmez;calmer
calment;calmer
campe;camper
campes;camper
campe;camper
campons;camper
campez;camper
campent;camper
capture;capturer
captures;capturer
capture;capturer
capturons;capturer
capturez;capturer
capturent;capturer
caresse;caresser
caresses;caresser
caresse;caresser
caressons;caresser
caressez;caresser
caressent;caresser
casse;casser
casses;casser
casse;casser
cassons;casser
cassez;casser
cassent;casser
casse;casser
casses;casser
casse;casser
cassons;casser
cassez;casser
cassent;casser
casse;casser
casses;casser
casse;casser
cassons;casser
cassez;casser
cassent;casser
catalogue;cataloguer
catalogues;cataloguer
catalogue;cataloguer
cataloguons;cataloguer
cataloguez;cataloguer
cataloguent;cataloguer
cause;causer
causes;causer
cause;causer
causons;causer
causez;causer
causent;causer
censure;censurer
censures;censurer
censure;censurer
censurons;censurer
censurez;censurer
censurent;censurer
certifie;certifier
certifies;certifier
certifie;certifier
certifions;certifier
certifiez;certifier
certifient;certifier
chahute;chahuter
chahutes;chahuter
chahute;chahuter
chahutons;chahuter
chahutez;chahuter
chahutent;chahuter
change;changer
changes;changer
change;changer
changeons;changer
changez;changer
changent;changer
change;changer
changes;changer
change;changer
changeons;changer
changez;changer
changent;changer
change;changer
changes;changer
change;changer
changeons;changer
changez;changer
changent;changer
change;changer
changes;changer
change;changer
changeons;changer
changez;changer
changent;changer
change;changer
changes;changer
change;changer
changeons;changer
changez;changer
changent;changer
change;changer
changes;changer
change;changer
changeons;changer
changez;changer
changent;changer
change;changer
changes;changer
change;changer
changeons;changer
changez;changer
changent;changer
chante;chanter
chantes;chanter
chante;chanter
chantons;chanter
chantez;chanter
chantent;chanter
chante;chanter
chantes;chanter
chante;chanter
chantons;chanter
chantez;chanter
chantent;chanter
charge;charger
charges;charger
charge;charger
chargeons;charger
chargez;charger
chargent;charger
charge;charger
charges;charger
charge;charger
chargeons;charger
chargez;charger
chargent;charger
charge;charger
charges;charger
charge;charger
chargeons;charger
chargez;charger
chargent;charger
chasse;chasser
chasses;chasser
chasse;chasser
chassons;chasser
chassez;chasser
chassent;chasser
chauffe;chauffer
chauffes;chauffer
chauffe;chauffer
chauffons;chauffer
chauffez;chauffer
chauffent;chauffer
chausse;chausser
chausses;chausser
chausse;chausser
chaussons;chausser
chaussez;chausser
chaussent;chausser
cherche;chercher
cherches;chercher
cherche;chercher
cherchons;chercher
cherchez;chercher
cherchent;chercher
cherche;chercher
cherches;chercher
cherche;chercher
cherchons;chercher
cherchez;chercher
cherchent;chercher
chie;chier
chies;chier
chie;chier
chions;chier
chiez;chier
chient;chier
choisis;choisir
choisis;choisir
choisit;choisir
choisissons;choisir
choisissez;choisir
choisissent;choisir
chronomètre;chronométrer
chronomètres;chronométrer
chronomètre;chronométrer
chronométrons;chronométrer
chronométrez;chronométrer
chronomètrent;chronométrer
chuchote;chuchoter
chuchotes;chuchoter
chuchote;chuchoter
chuchotons;chuchoter
chuchotez;chuchoter
chuchotent;chuchoter
circule;circuler
circules;circuler
circule;circuler
circulons;circuler
circulez;circuler
circulent;circuler
cire;cirer
cires;cirer
cire;cirer
cirons;cirer
cirez;cirer
cirent;cirer
claque;claquer
claques;claquer
claque;claquer
claquons;claquer
claquez;claquer
claquent;claquer
classe;classer
classes;classer
classe;classer
classons;classer
classez;classer
classent;classer
clignote;clignoter
clignotes;clignoter
clignote;clignoter
clignotons;clignoter
clignotez;clignoter
clignotent;clignoter
clique;cliquer
cliques;cliquer
clique;cliquer
cliquons;cliquer
cliquez;cliquer
cliquent;cliquer
cloue;clouer
cloues;clouer
cloue;clouer
clouons;clouer
clouez;clouer
clouent;clouer
clôture;clôturer
clôtures;clôturer
clôture;clôturer
clôturons;clôturer
clôturez;clôturer
clôturent;clôturer
coasse;coasser
coasses;coasser
coasse;coasser
coassons;coasser
coassez;coasser
coassent;coasser
cogne;cogner
cognes;cogner
cogne;cogner
cognons;cogner
cognez;cogner
cognent;cogner
coiffe;coiffer
coiffes;coiffer
coiffe;coiffer
coiffons;coiffer
coiffez;coiffer
coiffent;coiffer
colle;coller
colles;coller
colle;coller
collons;coller
collez;coller
collent;coller
colore;colorer
colores;colorer
colore;colorer
colorons;colorer
colorez;colorer
colorent;colorer
colorie;colorier
colories;colorier
colorie;colorier
colorions;colorier
coloriez;colorier
colorient;colorier
commande;commander
commandes;commander
commande;commander
commandons;commander
commandez;commander
commandent;commander
communie;communier
communies;communier
communie;communier
communions;communier
communiez;communier
communient;communier
communique;communiquer
communiques;communiquer
communique;communiquer
communiquons;communiquer
communiquez;communiquer
communiquent;communiquer
compatis;compatir
compatis;compatir
compatit;compatir
compatissons;compatir
compatissez;compatir
compatissent;compatir
complète;compléter
complètes;compléter
complète;compléter
complétons;compléter
complétez;compléter
complètent;compléter
compose;composer
composes;composer
compose;composer
composons;composer
composez;composer
composent;composer
composte;composter
compostes;composter
composte;composter
compostons;composter
compostez;composter
compostent;composter
comprends;comprendre
comprends;comprendre
comprend;comprendre
comprenons;comprendre
comprenez;comprendre
comprennent;comprendre
compte;compter
comptes;compter
compte;compter
comptons;compter
comptez;compter
comptent;compter
conçois;concevoir
conçois;concevoir
conçoit;concevoir
concevons;concevoir
concevez;concevoir
conçoivent;concevoir
condense;condenser
condenses;condenser
condense;condenser
condensons;condenser
condensez;condenser
condensent;condenser
conduis;conduire
conduis;conduire
conduit;conduire
conduisons;conduire
conduisez;conduire
conduisent;conduire
conduis;conduire
conduis;conduire
conduit;conduire
conduisons;conduire
conduisez;conduire
conduisent;conduire
conduis;conduire
conduis;conduire
conduit;conduire
conduisons;conduire
conduisez;conduire
conduisent;conduire
conduis;conduire
conduis;conduire
conduit;conduire
conduisons;conduire
conduisez;conduire
conduisent;conduire
confesse;confesser
confesses;confesser
confesse;confesser
confessons;confesser
confessez;confesser
confessent;confesser
confie;confier
confies;confier
confie;confier
confions;confier
confiez;confier
confient;confier
confonds;confondre
confonds;confondre
confond;confondre
confondons;confondre
confondez;confondre
confondent;confondre
congèle;congeler
congèles;congeler
congèle;congeler
congelons;congeler
congelez;congeler
congèlent;congeler
congédie;congédier
congédies;congédier
congédie;congédier
congédions;congédier
congédiez;congédier
congédient;congédier
connais;connaître
connais;connaître
connaît;connaître
connaissons;connaître
connaissez;connaître
connaissent;connaître
connecte;connecter
connectes;connecter
connecte;connecter
connectons;connecter
connectez;connecter
connectent;connecter
conquiers;conquérir
conquiers;conquérir
conquiert;conquérir
conquérons;conquérir
conquérez;conquérir
conquièrent;conquérir
consacre;consacrer
consacres;consacrer
consacre;consacrer
consacrons;consacrer
consacrez;consacrer
consacrent;consacrer
conseille;conseiller
conseilles;conseiller
conseille;conseiller
conseillons;conseiller
conseillez;conseiller
conseillent;conseiller
considère;considérer
considères;considérer
considère;considérer
considérons;considérer
considérez;considérer
considèrent;considérer
console;consoler
consoles;consoler
console;consoler
consolons;consoler
consolez;consoler
consolent;consoler
construis;construire
construis;construire
construit;construire
construisons;construire
construisez;construire
construisent;construire
contamine;contaminer
contamines;contaminer
contamine;contaminer
contaminons;contaminer
contaminez;contaminer
contaminent;contaminer
conte;conter
contes;conter
conte;conter
contons;conter
contez;conter
content;conter
continue;continuer
continues;continuer
continue;continuer
continuons;continuer
continuez;continuer
continuent;continuer
contourne;contourner
contournes;contourner
contourne;contourner
contournons;contourner
contournez;contourner
contournent;contourner
contracte;contracter
contractes;contracter
contracte;contracter
contractons;contracter
contractez;contracter
contractent;contracter
contre;contrer
contres;contrer
contre;contrer
controns;contrer
contrez;contrer
contrent;contrer
converse;converser
converses;converser
converse;converser
conversons;converser
conversez;converser
conversent;converser
coordonne;coordonner
coordonnes;coordonner
coordonne;coordonner
coordonnons;coordonner
coordonnez;coordonner
coordonnent;coordonner
copie;copier
copies;copier
copie;copier
copions;copier
copiez;copier
copient;copier
corrige;corriger
corriges;corriger
corrige;corriger
corrigeons;corriger
corrigez;corriger
corrigent;corriger
couche;coucher
couches;coucher
couche;coucher
couchons;coucher
couchez;coucher
couchent;coucher
couds;coudre
couds;coudre
coud;coudre
cousons;coudre
cousez;coudre
cousent;coudre
couds;coudre
couds;coudre
coud;coudre
cousons;coudre
cousez;coudre
cousent;coudre
coule;couler
coules;couler
coule;couler
coulons;couler
coulez;couler
coulent;couler
coupe;couper
coupes;couper
coupe;couper
coupons;couper
coupez;couper
coupent;couper
coupe;couper
coupes;couper
coupe;couper
coupons;couper
coupez;couper
coupent;couper
coupe;couper
coupes;couper
coupe;couper
coupons;couper
coupez;couper
coupent;couper
coupe;couper
coupes;couper
coupe;couper
coupons;couper
coupez;couper
coupent;couper
coupe;couper
coupes;couper
coupe;couper
coupons;couper
coupez;couper
coupent;couper
coupe;couper
coupes;couper
coupe;couper
coupons;couper
coupez;couper
coupent;couper
cours;courir
cours;courir
court;courir
courons;courir
courez;courir
courent;courir
cours;courir
cours;courir
court;courir
courons;courir
courez;courir
courent;courir
couve;couver
couves;couver
couve;couver
couvons;couver
couvez;couver
couvent;couver
couvre;couvrir
couvres;couvrir
couvre;couvrir
couvrons;couvrir
couvrez;couvrir
couvrent;couvrir
couvre;couvrir
couvres;couvrir
couvre;couvrir
couvrons;couvrir
couvrez;couvrir
couvrent;couvrir
crache;cracher
craches;cracher
crache;cracher
